N. de tombo,Local de coleta,País de coleta,Subespécie,Museu,Sexo,Comprimento da Asa (cm),Comprimento da Cauda (cm),Comprimento da Crista (cm),Número de listras,Distância entre listras (mm),Comprimento do Bico (mm),Largura do Bico (mm),Altura do Bico (mm),Curvatura do Bico (mm),Tarso - Metatarso (mm)
17119,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,M,11.1,17.6,,10,12.95,22.8,8.2,13.75,3.5,50.85
28123,"Teresópolis, RJ",Brasil,B. cinerea cinerea,MNH,M,10.5,15.2,3.6,9,11.2,22.1,7.7,14.15,3.4,49.7
26558,"Jatiboca, ES",Brasil,B. cinerea cinerea,MNH,M,10.8,15.6,3.7,10,11.65,23.65,7.95,14.25,4.55,46.25
17116,-,Brasil,B. cinerea cinerea,MNH,M,10.5,17.8,3.3,11,11.5,23.3,7.4,13.8,4.3,47.25
17122,"Mariana, MG",Brasil,B. cinerea cinerea,MNH,F,12.4,17.9,3,16,5.1,22,7.9,12.95,3.5,50.45
9109,"Teresópolis, RJ",Brasil,B. cinerea cinerea,MNH,F,13.5,17.4,3.4,12,6.3,23.55,8.05,13.9,4.55,50.75
6751,"Santa Teresa, ES",Brasil,B. cinerea cinerea,MNH,F,12.8,16.4,3,12,6.25,24.1,8,13.2,4.3,48.15
25800,"Bananal (Serra do Mar), SP",Brasil,B. cinerea cinerea,MNH,F,12.9,17.5,3.8,13,6.7,23.45,7.75,13.75,3.85,47.55
16936,-,Brasil,B. cinerea cinerea,MNH,F,11.6,17.4,4,13,5.75,22.95,8.5,13.85,3.65,47.3
16938,"Itatiaia, RJ",Brasil,B. cinerea cinerea,MNH,F,12,18.5,4.1,15,6.15,23.4,8.3,13.7,4.1,51.2
16942,"Iguape, SP",Brasil,B. cinerea cinerea,MNH,F,12,18,3.6,12,7,21.9,8.95,13,3.6,48.8
11989,"Santa Teresa, ES",Brasil,B. cinerea cinerea,MNH,M,11.6,17.2,3.3,12,11.1,22.75,8.35,13.9,3.75,45.9
17125,"Corvo, Serra Graciosa, PR",Brasil,B. cinerea cinerea,MNH,M,11.9,18,3.3,12,12.15,23.3,7.95,13.3,4.85,46.95
21076,"Santa Teresa, ES",Brasil,B. cinerea cinerea,MNH,M,11.6,14.5,3,9,11.35,19.3,7.45,12.45,1.85,50.15
26331,ES,Brasil,B. cinerea cinerea,MNH,M,11.1,17.3,3.6,12,11.35,21.85,8,13.4,-,48.55
17123,"Petrópolis, RJ",Brasil,B. cinerea cinerea,MNH,M,13,19.1,-,13,10.1,21.55,7.7,13.45,3.85,45.5
17118,-,Brasil,B. cinerea cinerea,MNH,M,11.7,18.1,2.5,12,11.75,23.05,8.15,14.65,4,47.3
7236,"Petrópolis, RJ",Brasil,B. cinerea cinerea,MNH,M,12.1,18.8,3.8,12,10,22.25,7.8,13.25,3.35,48.85
35220,"Fazenda Campestre, Campestre, Nova Friburgo, RJ",Brasil,B. cinerea cinerea,MNH,F,11.7,16.8,3.8,13,6.5,23.35,8.15,13.3,4.25,48.1
38373,"Teresópolis, RJ",Brasil,B. cinerea cinerea,MNH,F,10.8,17.1,3.5,15,6.7,21.85,8,13.25,2.6,46.5
46520,"Maromba, RJ",Brasil,B. cinerea cinerea,MNH,F,10.5,11.4,1.5,6,4.1,15.6,5.9,10.15,1.35,45.5
16940,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,F,12.7,19,4.2,11,10.5,22.75,7.45,14,4.3,47.85
34006,"Nova Friburgo, RJ",Brasil,B. cinerea cinerea,MNH,F,11.7,16.6,3.2,13,6.6,-,7.5,13.95,-,49.75
16943,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,F,13.1,17.4,3.7,14,6.65,23.75,8.05,14.1,3,47.6
16941,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,F,13,18.2,3.95,12,8.55,24.9,8.2,13.6,3.9,46.7
46572,"Maromba, RJ",Brasil,B. cinerea cinerea,MNH,M,12.1,16.45,3.2,13,9.7,22.45,8.75,14.3,3.25,46.75
17121,"Teresópolis, RJ",Brasil,B. cinerea cinerea,MNH,M,12,17.65,3.3,15,10.95,23.7,7.6,13.3,3.2,48.25
17120,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,M,12.05,17.5,3.8,10,12.65,25.15,7.85,13.7,4.9,46.6
23451,"Teresópolis, RJ",Brasil,B. cinerea cinerea,MNH,M,11.4,18.2,3.6,12,12,22.6,8.75,13.85,3.05,45.25
17115,"São João do M. Negro, RS",Brasil,B. cinerea cinerea,MNH,M,11.5,14.7,3.45,8,12.1,24.3,8.8,14.05,4.1,47
